scaffold_id	mag_ids	note
VB15-29_k141_9180	MASTER_WP4_FFoQSI_3__VB15-29__bin.10, MASTER_WP4_FFoQSI_2__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_10403	MASTER_WP4_FFoQSI_3__VB15-29__bin.10, MASTER_WP4_FFoQSI_2__VB15-29__bin.11	duplicate across MAGs
VB15-29_k141_20374	MASTER_WP4_FFoQSI_3__VB15-29__bin.10, MASTER_WP4_FFoQSI_2__VB15-29__bin.10	duplicate across MAGs
VB15-29_k141_44252	MASTER_WP4_FFoQSI_3__VB15-29__bin.10, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_47214	MASTER_WP4_FFoQSI_3__VB15-29__bin.10, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
YaoG_2017_k141_1154	YaoG_2017__NM17-3__bin.1, YaoG_2017__NM17-1__bin.7	duplicate across MAGs
YaoG_2017_k141_5991	YaoG_2017__NM17-3__bin.1, YaoG_2017__NM20-1__bin.4	duplicate across MAGs
YaoG_2017_k141_8489	YaoG_2017__NM17-3__bin.1, YaoG_2017__NM18-2__bin.5	duplicate across MAGs
YaoG_2017_k141_13735	YaoG_2017__NM17-3__bin.1, YaoG_2017__NM18-1__bin.4	duplicate across MAGs
YaoG_2017_k141_14207	YaoG_2017__NM17-3__bin.1, YaoG_2017__NM18-2__bin.5	duplicate across MAGs
YaoG_2017_k141_2439	YaoG_2017__NM18-2__bin.5, YaoG_2017__NM21-2__bin.9	duplicate across MAGs
YaoG_2017_k141_2514	YaoG_2017__NM18-2__bin.5, YaoG_2017__NM20-1__bin.4	duplicate across MAGs
YaoG_2017_k141_5632	YaoG_2017__NM18-2__bin.5, YaoG_2017__NM21-2__bin.9	duplicate across MAGs
YaoG_2017_k141_11089	YaoG_2017__NM18-2__bin.5, YaoG_2017__NM17-1__bin.7	duplicate across MAGs
VB15-29_k141_3064	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.10	duplicate across MAGs
VB15-29_k141_7184	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_7651	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.10	duplicate across MAGs
VB15-29_k141_16599	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.10	duplicate across MAGs
VB15-29_k141_17906	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.11	duplicate across MAGs
VB15-29_k141_22197	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_22536	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.24	duplicate across MAGs
VB15-29_k141_23768	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_25097	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_27895	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.11	duplicate across MAGs
VB15-29_k141_29086	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.21	duplicate across MAGs
VB15-29_k141_40779	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_48795	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.11	duplicate across MAGs
VB15-29_k141_60999	MASTER_WP4_FFoQSI_3__VB15-29__bin.34, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_12013	MASTER_WP4_FFoQSI_2__VB15-29__bin.24, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_22917	MASTER_WP4_FFoQSI_2__VB15-29__bin.24, MASTER_WP4_FFoQSI_3__VB15-29__bin.50	duplicate across MAGs
VB15-29_k141_29011	MASTER_WP4_FFoQSI_2__VB15-29__bin.24, MASTER_WP4_FFoQSI_3__VB15-29__bin.29	duplicate across MAGs
VB15-29_k141_41165	MASTER_WP4_FFoQSI_2__VB15-29__bin.24, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_56063	MASTER_WP4_FFoQSI_2__VB15-29__bin.24, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_64522	MASTER_WP4_FFoQSI_2__VB15-29__bin.24, MASTER_WP4_FFoQSI_3__VB15-29__bin.38	duplicate across MAGs
